MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230808,South,39.38,60.62,42.24,21.05,4.44,0.59,2023-08-08,2023-08-14,1
20230808,Southeast,88.54,11.46,1.79,0.79,0.18,0.00,2023-08-08,2023-08-14,1
20230808,West,60.39,39.61,18.22,4.17,0.15,0.00,2023-08-08,2023-08-14,1
20230801,High Plains,51.65,48.35,29.33,14.29,7.10,0.99,2023-08-01,2023-08-07,1
20230801,Midwest,23.90,76.10,52.43,22.35,4.96,0.00,2023-08-01,2023-08-07,1
20230801,Northeast,85.77,14.23,3.55,0.59,0.00,0.00,2023-08-01,2023-08-07,1
20230801,South,41.95,58.05,33.24,13.20,2.77,0.53,2023-08-01,2023-08-07,1
20230801,Southeast,88.59,11.41,2.20,0.66,0.18,0.00,2023-08-01,2023-08-07,1
20230801,West,64.13,35.87,14.24,3.77,0.00,0.00,2023-08-01,2023-08-07,1
20230725,High Plains,52.82,47.18,29.04,15.49,7.64,0.99,2023-07-25,2023-07-31,1
20230725,Midwest,17.45,82.55,55.60,20.78,4.99,0.00,2023-07-25,2023-07-31,1
20230725,Northeast,78.89,21.11,5.68,0.40,0.00,0.00,2023-07-25,2023-07-31,1
20230725,South,42.35,57.65,31.47,11.16,2.77,0.53,2023-07-25,2023-07-31,1
20230725,Southeast,93.94,6.06,2.35,0.66,0.18,0.00,2023-07-25,2023-07-31,1
20230725,West,68.46,31.54,11.83,2.84,0.00,0.00,2023-07-25,2023-07-31,1
20230718,High Plains,53.98,46.02,29.13,17.33,8.17,1.18,2023-07-18,2023-07-24,1
20230718,Midwest,15.08,84.92,54.35,18.88,4.92,0.30,2023-07-18,2023-07-24,1
20230718,Northeast,71.91,28.09,9.13,0.57,0.00,0.00,2023-07-18,2023-07-24,1
20230718,South,41.09,58.91,28.75,6.89,2.70,0.53,2023-07-18,2023-07-24,1
20230718,Southeast,93.13,6.87,2.24,0.58,0.00,0.00,2023-07-18,2023-07-24,1
20230718,West,72.84,27.16,10.27,2.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,High Plains,59.00,41.00,28.51,17.44,8.77,1.64,2023-07-11,2023-07-17,1
20230711,Midwest,12.10,87.90,63.95,26.03,5.31,0.45,2023-07-11,2023-07-17,1
20230711,Northeast,55.70,44.30,14.69,0.61,0.00,0.00,2023-07-11,2023-07-17,1
20230711,South,39.87,60.13,24.12,5.14,1.25,0.20,2023-07-11,2023-07-17,1
20230711,Southeast,90.21,9.79,2.40,0.54,0.00,0.00,2023-07-11,2023-07-17,1
20230711,West,76.70,23.30,10.24,2.00,0.00,0.00,2023-07-11,2023-07-17,1
20230704,High Plains,53.82,46.18,30.75,19.89,10.64,2.97,2023-07-04,2023-07-10,1
20230704,Midwest,12.20,87.80,63.54,24.88,4.27,0.00,2023-07-04,2023-07-10,1
20230704,Northeast,39.60,60.40,19.64,1.11,0.00,0.00,2023-07-04,2023-07-10,1
20230704,South,35.52,64.48,23.05,5.25,1.33,0.22,2023-07-04,2023-07-10,1
20230704,Southeast,87.14,12.86,2.26,0.03,0.00,0.00,2023-07-04,2023-07-10,1
20230704,West,76.30,23.70,9.89,1.49,0.00,0.00,2023-07-04,2023-07-10,1
20230627,High Plains,49.16,50.84,31.77,20.27,10.47,3.22,2023-06-27,2023-07-03,1
20230627,Midwest,9.26,90.74,64.71,24.65,3.52,0.00,2023-06-27,2023-07-03,1
20230627,Northeast,34.94,65.06,25.17,1.37,0.00,0.00,2023-06-27,2023-07-03,1
20230627,South,36.55,63.45,19.67,4.95,1.33,0.22,2023-06-27,2023-07-03,1
20230627,Southeast,85.83,14.17,2.09,0.07,0.00,0.00,2023-06-27,2023-07-03,1
20230627,West,75.09,24.91,10.00,1.31,0.00,0.00,2023-06-27,2023-07-03,1
20230620,High Plains,41.27,58.73,33.56,20.87,10.67,3.07,2023-06-20,2023-06-26,1
20230620,Midwest,7.29,92.71,58.49,15.91,2.59,0.00,2023-06-20,2023-06-26,1
20230620,Northeast,28.52,71.48,34.13,1.52,0.00,0.00,2023-06-20,2023-06-26,1
20230620,South,42.16,57.84,20.17,5.39,1.33,0.22,2023-06-20,2023-06-26,1
20230620,Southeast,73.70,26.30,4.42,0.07,0.00,0.00,2023-06-20,2023-06-26,1
20230620,West,74.97,25.03,10.10,1.48,0.00,0.00,2023-06-20,2023-06-26,1
