AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,26.43,"794,763.71","89,802,349.70",29.38,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-04-11
CONUS,13.68,"411,433.43","42,349,318.56",13.85,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-04-11
CONUS,46.94,"1,411,621.90","128,516,694.81",42.05,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-04-18
CONUS,26.60,"800,058.75","92,627,274.15",30.30,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-04-18
CONUS,14.60,"439,042.77","45,081,978.38",14.75,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-04-18
CONUS,43.85,"1,318,853.59","126,364,349.17",41.34,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-04-25
CONUS,24.29,"730,394.43","71,400,001.35",23.36,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-04-25
CONUS,13.06,"392,865.44","38,403,508.82",12.56,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-04-25
CONUS,1.48,"44,471.69","1,075,662.75",0.35,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-04-25
CONUS,44.57,"1,340,308.06","128,828,455.46",42.15,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-05-02
CONUS,25.69,"772,486.37","76,658,906.36",25.08,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-05-02
CONUS,13.22,"397,662.96","36,827,219.44",12.05,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-05-02
CONUS,1.66,"49,969.64","2,601,207.19",0.85,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-05-02
CONUS,44.25,"1,330,886.72","127,776,709.35",41.80,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-05-09
CONUS,24.70,"742,708.32","70,740,307.22",23.14,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-05-09
CONUS,12.84,"386,107.11","33,834,980.48",11.07,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-05-09
CONUS,1.66,"49,969.56","2,601,206.42",0.85,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-05-09
CONUS,47.43,"1,426,522.43","131,965,782.17",43.17,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-05-16
CONUS,28.35,"852,512.36","77,676,908.56",25.41,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-05-16
CONUS,15.54,"467,416.36","38,222,486.71",12.50,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-05-16
CONUS,2.99,"89,945.12","5,994,524.05",1.96,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-05-16
CONUS,42.16,"1,268,045.53","102,725,815.60",33.61,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-05-23
CONUS,23.77,"715,001.85","59,828,936.39",19.57,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-05-23
CONUS,14.12,"424,657.93","36,440,876.75",11.92,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-05-23
CONUS,3.58,"107,816.69","8,996,951.68",2.94,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-05-23
CONUS,37.94,"1,141,129.32","96,993,462.61",31.73,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-05-30
CONUS,24.17,"726,859.45","67,261,557.15",22.01,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-05-30
CONUS,13.69,"411,761.13","35,921,128.57",11.75,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-05-30
CONUS,5.09,"152,940.53","12,722,213.09",4.16,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-05-30
CONUS,0.26,"7,969.07","1,483,275.28",0.49,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-05-30
CONUS,37.34,"1,123,025.13","83,827,997.78",27.42,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-06-06
CONUS,21.36,"642,268.57","54,229,448.91",17.74,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-06-06
CONUS,12.77,"383,951.86","36,020,136.74",11.78,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-06-06
CONUS,5.41,"162,702.11","13,474,451.73",4.41,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-06-06
CONUS,0.30,"9,074.70","1,656,970.83",0.54,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-06-06
CONUS,44.04,"1,324,528.66","88,902,934.66",29.09,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-06-13
CONUS,23.44,"705,013.73","59,740,100.53",19.54,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-06-13
