RegionalClimateCenterId,PercentCurrent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
1,29.27,"149,076.05",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-09
1,12.72,"64,809.36",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-09
1,6.45,"32,867.02",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-09
1,28.10,"143,106.82",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-16
1,12.91,"65,734.23",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-16
1,6.74,"34,307.43",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-16
1,26.35,"134,196.24",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-23
1,10.60,"53,975.97",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-23
1,7.24,"36,865.83",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-23
1,1.11,"5,676.52",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-05-23
1,21.66,"110,334.67",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-05-30
1,10.13,"51,575.30",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-05-30
1,5.25,"26,758.20",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-05-30
1,0.62,"3,143.72",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-05-30
1,29.84,"151,979.05",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-06
1,10.34,"52,672.80",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-06
1,5.36,"27,292.60",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-06
1,1.15,"5,873.23",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-06-06
1,47.28,"240,835.76",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-13
1,12.50,"63,678.33",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-13
1,7.83,"39,903.15",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-13
1,1.48,"7,525.22",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-06-13
1,51.70,"263,356.31",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-20
1,14.51,"73,886.90",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-20
1,10.00,"50,919.69",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-20
1,0.36,"1,842.00",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-06-20
1,55.42,"282,313.64",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-06-27
1,16.41,"83,580.40",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-06-27
1,10.18,"51,832.01",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-06-27
1,61.47,"313,117.64",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-07-04
1,24.21,"123,334.17",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-07-04
1,9.37,"47,744.85",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-07-04
1,1.49,"7,608.44",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-07-04
1,62.33,"317,483.43",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-07-11
1,29.15,"148,473.42",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-07-11
1,6.73,"34,259.02",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-07-11
1,1.49,"7,608.44",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-07-11
1,61.78,"314,690.39",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-07-18
1,25.36,"129,161.66",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-07-18
1,6.36,"32,406.42",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-07-18
1,1.28,"6,528.87",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-07-18
1,57.90,"294,947.81",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-07-25
1,21.49,"109,472.27",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-07-25
1,5.53,"28,158.87",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-07-25
1,1.01,"5,131.22",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-07-25
1,57.18,"291,230.31",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-08-01
1,21.74,"110,750.92",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-08-01
1,5.53,"28,158.87",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-08-01
1,1.01,"5,131.22",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-08-01
1,53.05,"270,219.23",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-08-08
1,20.30,"103,389.71",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-08-08
1,5.16,"26,290.22",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-08-08
1,1.01,"5,131.22",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-08-08
1,53.93,"274,681.68",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-08-15
1,23.30,"118,670.51",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-08-15
1,7.67,"39,067.91",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-08-15
1,1.32,"6,706.82",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-08-15
1,46.79,"238,331.49",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-08-22
1,23.19,"118,110.85",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-08-22
1,7.31,"37,259.85",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-08-22
1,1.32,"6,706.82",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-08-22
1,55.71,"283,778.30",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-08-29
1,26.30,"133,983.97",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-08-29
1,8.63,"43,958.56",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-08-29
1,1.48,"7,522.12",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-08-29
1,67.79,"345,322.37",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-09-05
1,29.12,"148,308.31",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-09-05
1,9.31,"47,419.94",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-09-05
1,1.48,"7,522.12",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-09-05
1,70.07,"356,913.99",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-09-12
1,37.27,"189,861.20",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-09-12
1,14.18,"72,224.90",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-09-12
1,2.56,"13,050.72",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-09-12
1,73.29,"373,315.77",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-09-19
1,39.18,"199,594.56",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-09-19
1,19.68,"100,219.16",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-09-19
1,3.06,"15,593.53",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-09-19
1,74.78,"380,908.89",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-09-26
1,33.75,"171,905.36",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-09-26
1,15.51,"79,016.54",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-09-26
1,0.35,"1,770.53",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-09-26
1,73.63,"375,036.63",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-10-03
1,37.95,"193,319.44",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-10-03
1,19.28,"98,191.18",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-10-03
1,0.89,"4,551.62",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-10-03
1,71.46,"363,998.81",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-10-10
1,37.74,"192,245.55",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-10-10
1,19.16,"97,616.74",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-10-10
1,0.89,"4,551.62",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-10-10
1,76.63,"390,346.67",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-10-17
1,38.69,"197,051.89",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-10-17
1,17.16,"87,414.79",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-10-17
1,2.68,"13,649.83",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-10-17
1,86.96,"442,933.07",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-10-24
1,39.99,"203,685.31",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-10-24
1,13.16,"67,019.97",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-10-24
1,3.08,"15,663.57",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-10-24
1,81.12,"413,214.85",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-10-31
1,34.31,"174,739.41",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-10-31
1,6.00,"30,546.03",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-10-31
1,0.95,"4,851.73",0.00,0.00,0.00,0.00,1,4,D3  ,High Plains,"509,365.03",2000-10-31
1,55.03,"280,308.73",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-11-07
1,6.85,"34,908.56",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-11-07
1,3.23,"16,460.21",0.00,0.00,0.00,0.00,1,3,D2  ,High Plains,"509,365.03",2000-11-07
1,47.14,"240,114.01",0.00,0.00,0.00,0.00,1,1,D0  ,High Plains,"509,365.03",2000-11-14
1,5.72,"29,134.47",0.00,0.00,0.00,0.00,1,2,D1  ,High Plains,"509,365.03",2000-11-14
